Factorisations Of Cunningham Numbers C+(2,n) = 2^n + 1

Canonical Representation Of Factorisations

1. Factorisations are given from smallest to largest factor, with a period '.'
   separating factors.
2. Multiplicity of factors is indicated with the carat '^' in ascii tradition
   for the text version of the tables but not the HTML version.
3. The backslash '\' is used to indicate continuation of a line, the decimal
   digit representation of the number does not stop but continues on the next
   line as if no break had occured. This can sometimes make for bad breaks, but
   such is life.

Notation Used In The Tables

1. #Fac is the number of (non distinct) prime factors in an expression.
2. A plussed #Fac means that more prime factors exist but they are unknown due
   to an unfactored composite in the expression.

========================================================================================================================

   n  #Fac  Factorisation
  57     5  3^2.571.174763.160465489
  58     3  5.107367629.536903681
  59     4  3.2833.37171.1824726041
  60     4  17.241.61681.4562284561
  61     2  3.768614336404564651
  62     5  5.5581.8681.49477.384773
  63     7  3^3.19.43.5419.77158673929
  64     2  274177.67280421310721
  65     6  3.11.131.2731.409891.7623851
  66     6  5.13.397.2113.312709.4327489
  67     3  3.7327657.6713103182899
  68     4  17^2.354689.2879347902817
  69     5  3^2.139.2796203.168749965921
  70     7  5^2.29.41.113.7416361.47392381
  71     3  3.56409643.13952598148481
  72     5  97.257.577.673.487824887233
  73     3  3.1753.1795918038741070627
  74     5  5.149.593.184481113.231769777
  75     7  3^2.11.251.331.4051.1133836730401
  76     4  17.1217.148961.24517014940753
  77     6  3.43.617.683.78233.35532364099
  78    10  5.13^2.53.157.313.1249.1613.3121.21841
  79     2  3.201487636602438195784363
  80     3  65537.414721.44479210368001
  81    10  3^5.19.163.87211.135433.272010961
  82     5  5.10169.181549.12112549.43249589
  83     6  3.499.1163.2657.155377.13455809771
  84     5  17.241.3361.15790321.88959882481
  85     4  3.11.43691.26831423036065352611
  86     5  5.173.101653.500177.1759217765581
  87     5  3^2.59.3033169.96076791871613611
  88     4  257.229153.119782433.43872038849
  89     4  3.179.62020897.18584774046020617
  90    11  5^2.13.37.41.61.109.181.1321.54001.29247661
  91     6  3.43.2731.224771.1210483.25829691707
  92     2  17.291280009243618888211558641
  93     5  3^2.529510939.715827883.2903110321
  94     4  5.3761.7484047069.140737471578113
  95     5  3.11.2281.174763.3011347479614249131
  96     3  641.6700417.18446744069414584321
  97     5  3.971.1553.31817.1100876018364883721
  98     6  5.29.113.197.19707683773.4981857697937
  99     9  3^3.19.67.683.5347.20857.242099935645987
 100     6  17.401.61681.340801.2787601.3173389601
 101     2  3.845100400152152934331135470251
 102     9  5.13.137.409.953.3061.13669.26317.1326700741
 103     3  3.415141630193.8142767081771726171
 104     2  257.78919881726271091143763623681
 105    11  3^2.11.43.211.281.331.5419.86171.664441.1564921
 106     4  5.15358129.586477649.1801439824104653
 107     3  3.643.84115747449047881488635567801
 108     6  17.241.433.38737.33975937.138991501037953
 109     3  3.104124649.2077756847362348863128179
 110     7  5^2.41.397.2113.415878438361.3630105520141
 111     7  3^2.1777.3331.17539.25781083.107775231312019
 112     5  449.2689.65537.183076097.358429848460993
 113     5  3.227.48817.636190001.491003369344660409
 114     8  5.13.229.457.131101.160969.525313.275415303169
 115     6  3.11.691.2796203.1884103651.345767385170491
 116     3  17.59393.82280195167144119832390568177
 117     7  3^3.19.2731.22366891.5302306226370307681801
 118     7  5.1181.3541.157649.174877.5521693.104399276341
 119     5  3.43.43691.823679683.143162553165560959297
 120     6  97.257.673.394783681.4278255361.46908728641
 121     4  3.683.117371.11054184582797800455736061107
 122     6  5.733.1709.3456749.368140581013.667055378149
 123     7  3^2.83.739.165313.8831418697.13194317913029593
 124     4  17.290657.3770202641.1141629180401976895873
 125     6  3.11.251.4051.229668251.5519485418336288303251
 126    10  5.13.29.37.109.113.1429.14449.40388473189.118750098349
 127     2  3.56713727820156410577229101238628035243
 128     2  59649589127497217.5704689200685129054721
 129     6  3^2.1033.1591582393.2932031007403.15686603697451
 130    10  5^2.41.53.157.521.1613.51481.34110701.108140989558681
 131     4  3.1049.4744297.182331128681207781784391813611
 132     7  17.241.353.7393.1761345169.2931542417.98618273953
 133     5  3.43.4523.174763.106788290443848295284382097033
 134     6  5.269.15152453.42875177.2559066073.9739278030221
 135    12  3^4.11.19.331.811.15121.87211.18837001.385838642647891
 136     4  257.383521.2368179743873.373200722470799764577
 137     5  3.1097.15619.32127963626435681.105498212027592977
 138     8  5.13.277.1013.1657.30269.5415624023749.70334392823809
 139     3  3.4506937.51542639524661795300074174250365699
 140     4  17.61681.15790321.84179842077657862011867889681
 141     7  3^2.283.1681003.35273039401.111349165273.165768537521
 142     6  5.569.148587949.4999465853.5585522857.472287102421
 143     7  3.683.2003.2731.6156182033.10425285443.15500487753323
 144     7  193.1153.6337.65537.22253377.38941695937.278452876033
 145     6  3.11.59.3033169.7553921.999802854724715300883845411
 146     5  5.293.9929.649301712182209.9444732965601851473921
 147     7  3^2.43.5419.748819.4363953127297.26032885845392093851
 148     2  17.20988936657440586486151264256610222593863921
 149     5  3.1193.650833.38369587.7984559573504259856359124657
 150    14  5^3.13.41.61.101.1201.1321.8101.63901.268501.13334701.1182468601
 151     3  3.18717738334417.50834050824100779677306460621499
 152     4  257.27361.69394460463940481.11699557817717358904481
 153    11  3^3.19.307.2857.6529.43691.123931.26159806891.27439122228481
 154     9  5.29.113.397.2113.8317.869467061.3019242689.76096559910757
 155     6  3.11.11161.715827883.5947603221397891.29126056043168521
 156     5  17.241.858001.308761441.84159375948762099254554456081
 157     5  3.15073.2350291.17751783757817897.96833299198971305921
 158     4  5.317.381364611866507317969.604462909806215075725313
 159     6  3^2.107.6043.28059810762433.4475130366518102084427698737
 160     4  641.3602561.6700417.94455684953484563055991838558081
 161     4  3.43.2796203.8103467492759792327149800361564410265219
 162    10  5.13.37.109.246241.279073.3618757.106979941.168410989.4977454861
 163     4  3.11281292593.1023398150341859.337570547050390415041769
 164     4  17.13121.8562191377.12243864122465612155106392056552353
 165    12  3^2.11^2.67.331.683.2971.20857.48912491.415365721.2252127523412251
 166     6  5.997.13063537.46202197673.209957719973.148067197374074653
 167     2  3.62357403192785191176690552862561408838653121833643
 168     8  97.257.673.2017.5153.25629623713.54410972897.1538595959564161
 169     4  3.2731.4929910764223610387.18526238646011086732742614043
 170    11  5^2.41.137.953.1021.4421.26317.550801.23650061.7226904352843746841
 171     9  3^3.19^2.571.174763.160465489.19177458387940268116349766612211
 172     4  17.3855260977.64082150767423457.1425343275103126327372769
 173     6  3.347.4153.35374479827.47635010587.1643464247728189221623609
 174     8  5.13.349.29581.107367629.536903681.27920807689.22170214192500421
 175    11  3.11.43.251.281.1051.4051.86171.110251.347833278451.34010032331525251
 176     3  65537.5304641.275509565477848842604777623828011666349761
 177     8  3^2.2833.13099.37171.1824726041.4453762543897.1898685496465999273
 178     4  5.1069.579017791994999956106149.123794003928545064364330189
 179     3  3.58745093521.4347868190665879373495950562775707707143803
 180     8  17.241.433.38737.61681.4562284561.168692292721.469775495062434961
 181     4  3.1811.31675363.17810163630112624579342811733978085990447907
 182    11  5.29.53.113.157.1093^2.1613.4733.8861085190774909.556338525912325157
 183     4  3^2.768614336404564651.1772303994379887829769795077302561451
 184     4  257.43717618369.549675408461419937.3970299567472902879791777
 185     7  3.11.1481.1777.25781083.28136651.778429365397887608540618330873281
 186     9  5.13.373.5581.8681.49477.384773.951088215727633.4611545283086450689
 187     4  3.683.43691.2191165825376888084750157716424579062015865776131
 188     5  17.1198107457.23592342593.4501946625921233.181352306852476069537
 189    13  3^4.19.43.379.5419.87211.119827.77158673929.127391413339.56202143607667
 190    10  5^2.41.229.457.761.54721.525313.276696631250953741.2416923620660807201
 191     2  3.1046183622564446793972631570534611069350392574077339085483
 192     4  769.274177.67280421310721.442499826945303593556473164314770689
 193     6  3.6563.35679139.1871670769.7455099975844049.1280761337388845898643
 194     9  5.389.3881.4657.5821.3555339061.4959325597.394563864677.17637260034881
 195    11  3^2.11.131.331.2731.107251.409891.7623851.22366891.571403921126076957182161
 196     8  17.7057.273617.1007441.15790321.375327457.1405628248417.364565561997841
 197     4  3.197002597249.1348959352853811313.251951573867253012259144010843
 198    12  5.13.37.109.397.2113.42373.235621.312709.4327489.8463901912489.15975607282273
 199     2  3.267823007376498379256993682056860433753700498963798805883563
 200     6  257.1601.25601.82471201.4278255361.432363203127002885506543172618401
 201     8  3^2.2011.9649.6324667.7327657.6713103182899.59151549118532676874448563
 202     6  5.809.9491060093.5218735279937.600503817460697.53425037363873248657
 203     7  3.43.59.3033169.596834617.3692022713.252715814615565962418688965855731
 204     9  17^2.241.8161.354689.40932193.1467129352609.2879347902817.737539985835313
 205     5  3.11.83.8831418697.2125820563389437533390243893834597846757304863651
 206     6  5.41201.17325013.520379897.473000157711296729.117070097457656623005977
 207     8  3^3.19.139.2796203.168749965921.6113142872404227834840443898241613032969
 208     6  65537.928513.18558466369.23877647873.21316654212673.715668470267111297
 209     6  3.419.683.174763.3410623284654639440707.1607792018780394024095514317003
 210    15  5^2.13.29.41.61.113.421.1321.1429.14449.7416361.47392381.146919792181.1041815865690181
 211     6  3.4643.9878177.5344743097.199061567251.22481127512575175864234185190299
 212     4  17.1692645313.10920513604018498900801.20946001591429012199281424246257
 213     8  3^2.5113.17467.102241.56409643.13952598148481.203525545766301306933226271929
 214     6  5.857.843589.8174912477117.23528569104401.37866809061660057264219253397
 215     5  3.11.9084611.2932031007403.59904608378705661377430182608711698924130721
 216     8  97.257.577.673.209924353.4261383649.487824887233.24929060818265360451708193
 217     5  3.43.16233337.715827883.140508608590164280225934233098866842745808905947
 218     6  5.5669.666184021.74323515777853.1746518852140345553.171857646012809566969
 219     6  3^2.1753.9070197542196643.1795918038741070627.3278244690156222434135906137
 220     9  17.353.61681.109121.148721.2931542417.3404676001.11035465708081.2546717317681681
 221     6  3.443.2731.43691.4714692062809.4507513575406446515845401458366741487526913
 222    10  5.13.149.593.3109.184481113.231769777.1398316729.4345052821.1453030298001690873541
 223     3  3.219256122131.20493495920905043950407650450918171260318303154708405513
 224     4  641.6700417.167773885276849215533569.37414057161322375957408148834323969
 225    12  3^3.11.19.251.331.4051.18837001.4714696801.1133836730401.281941472953710177758647201
 226     5  5.58309.2362153.15079116213901326178369.10384593717069655112945804582584321
 227     4  3.297371.3454631579714210387.69982170658265444713117545258712031103399659
 228     8  17.241.1217.90289.148961.9036489073.24517014940753.29034057164920993379000074993
 229     3  3.18754643.15333417141003794339164342447265426158851946182451963484372297
 230    13  5^2.41.277.461.1013.1657.5981.30269.15096281.1021622741.7834788541.359006912765190408181
 231    12  3^2.43.67.617.683.5419.14323.20857.78233.35532364099.70180796165277040349245703851057
 232     6  257.929.5569.8353.39594977.15694604006012505869851221169365594050637743819041
 233     4  3.467.27961.352369374013660139472574531568890678155040563007620742839120913
 234    17  5.13^2.37.53.109.157.313.1249.1613.3121.7489.21061.21841.348661.1112388285061.370244405487013669
 235     7  3.11.283.165768537521.328006342451.461797907949997211.235457374510092115086834691
 236     6  17.1889.11329.84961.765373489.4667813439458532797392797231517680422795032583489
 237     6  3^2.647011.13664473.201487636602438195784363.13775694692898492184744709216599873
 238    12  5.29.113.137.953.2381.9521.26317.42841.823481.536296539263941.18292898984156916156396101
 239     4  3.340337.32605142983704221670173899.26537037220992112785174856161239437662001
 240     7  193.23041.65537.414721.22253377.44479210368001.14768784307009061644318236958041601
 241     5  3.2411.10411181203.15059828108442641.3115949925222900514664736941746248477210667
 242     7  5.397.2113.3389.91961.4036962584010807014809213.1339272539833668386958920468400193
 243    15  3^6.19.163.1459.87211.135433.139483.272010961.10429407431911334611.918125051602568899753
 244     5  17.977.37831175201.4889940029309876547089.9200725871078697500072796227876997617
 245     9  3.11.43.281.491.86171.4363953127297.15162868758218274451.50647282035796125885000330641
 246    10  5.13.2953.10169.181549.12112549.43249589.802333429.6027043735173469.125965976976392564317
 247     7  3.2731.174763.207481.10049443.355011619.213379941663827592701819558102368170760508803
 248     3  257.8929.197107422273014301919781414466039325387889623676342705850752210599969
 249     9  3^2.499.1163.2657.155377.13455809771.9202419446683.3388098290567587377052016525627948593
 250    14  5^4.41.101.7001.8101.28001.96001.268501.3775501.47970133603445383501.94291866932171243501
 251     3  3.238451.5058345723951854688505665428846313806490903121677364358901199128608233
 252    12  17.241.433.1009.3361.21169.38737.2627857.15790321.269389009.88959882481.1475204679190128571777
 253     8  3.683.4049.85009.2796203.31797547.81776791273.2822551529460330847604262086149015242689
 254     9  5.509.18797.26417.72118729.140385293.2792688414613.8988357880501.90133566917913517709497
 255    12  3^2.11.307.331.2857.6529.12241.43691.418562986357561.26831423036065352611.51366149455494753931
 256     2  1238926361552897.93461639715357977769163558199606896584051237541638188580280321
 257     4  3.37239639534523.518144156602508243009.4000659204579114753312310878847043394855313
 258    10  5.13.173.17029.46957.101653.500177.1759217765581.96758771543686753.5951631966296685834686149
 259     6  3.43.1777.25781083.1456235596904319041738812533139.107636344217840413139193500838915409
 260     9  17.42641.61681.858001.5746001.308761441.2400573761.65427463921.173308343918874810521923841
 261    11  3^3.19.59.523.3033169.6929826139.96076791871613611.3453412901832690553.33563856450515702761
 262     7  5.269665073.642811237.2745098189.810791440841.12450751815271172041.308544695409769427309
 263     5  3.1579.92051.29261114397558193.1161625406204540347970098063703363946902736086742697099
 264     8  97.257.673.229153.119782433.43872038849.16875081675650881.86945388997210442828259494992321
 265     6  3.11.107.28059810762433.593783678966863030035641.1007715965875748226745472989687556259131
 266    11  5.29.113.229.457.1597.2129.525313.126848469231149.679253585011429.449329386292232535250647435097
 267     8  3^2.179.3739.4273.62020897.18584774046020617.7993364465170792998716337691033251350895453313
 268     4  17.75041.333808138537249.1113767094422199900605896348724787045161997478687751948513969
 269     3  3.424255915796187428893811.745280352191786358209397071708329198285057832384965565161
 270    18  5^2.13.37.41.61.109.181.541.1321.30241.49681.54001.246241.279073.29247661.165041853060421.166242935471754241
 271     5  3.1627.115417966565804897.4635260015873357770993.1453023029482044854944519555964740294049
 272     4  5441.65537.335631827046798245410603730138717057.63406006407727721042109834220642811713
 273    12  3^2.43.547.2731.5419.224771.1210483.22366891.25829691707.105310750819.292653113147157205779127526827
 274     5  5.189061.168434085820849.206875670104957744917147613.921525707911840587390617330886362701
 275     9  3.11^2.251.683.2971.4051.48912491.1657154808755021818820630633083400618861135574408955395309601
 276     5  17.241.5770338946481798744593.291280009243618888211558641.17631969887860014158574508770817
 277     3  3.25792643401363.3138280009399679017344631051542622769205877134953845128202334345822857
 278     7  5.557.1408349.15736774913.492717674609.12763660054721.1251163891299967635860272509229764287909
 279    11  3^3.19.26227.529510939.715827883.2903110321.119232435043.85384915399027.6444365376140611199022187
 280     8  257.4481.5153.557761.736961.4278255361.54410972897.3421249381705368039830334190046211225116161
 281     4  3.563.5203536083.442079688503172860176607217752424068059658864615965341384647107224486419
 282    11  5.13.1129.3761.5641.1768141.54865357.7484047069.180846660913.140737471578113.270097268484167653999069
 283     6  3.1699.62827.2486265371.67535788803713.289032286755051820954283562071395404701830115983581457
 284     4  17.2273.1433633.561089862628529469701880307617682175171538701774485416358584106265670728689
 285    11  3^2.11.331.571.2281.174763.1101811.160465489.3011347479614249131.15653990705896313547269237220041169361
 286    12  5.53.157.397.1613.2113.25741.958673.3426853.9467173.4170165570896115649.661521349351105339668937661297
 287     8  3.43.83.1723.8831418697.84413238703660609.4336790831080504259.4169136946773000713270790657459827
 288     7  641.3457.816769.6700417.18446744069414584321.1562985901350085709953.1422346738975853644793916289
 289     8  3.43691.72251.79187.1077971.18360250452977.197766803208315851.338858733065598401355195539629373089
 290    10  5^2.41.17401.168781.107367629.536903681.244716883381.3902095192430070721.12004541501954811085302214141
 291    10  3^2.971.1553.25609.31817.5636963037465601.581546606903256979.1100876018364883721.99695503427255026561
 292     3  17.19602880710043505617.23877558370585153535255125267231814835993843079185883107034076803873
 293     6  3.587.26371.33403.13453890779540632945331892129844577.762551893101410166019390283047520363896913
 294    12  5.13.29.113.197.1429.14449.540961.19707683773.4981857697937.40544859693521152369.17059410504738323992180849
 295     6  3.11.2833.37171.1824726041.10038903777149910946126741017108754570611942191560591325431728188591011
 296     3  257.80513.6152896135288560374679945371974689688835168151742564408104565373600581564260451457
 297    15  3^4.19.67.683.5347.20857.23761.87211.694387.6215074747201.242099935645987.14973866897175265228063698945547
 298     6  5.1789.12961064789.14641916303149.27243386602395588437243602121.11011808951971745915313242336927641
 299     6  3.2393.2731.2796203.834490119087067.22263485343435683412693923533443917032613157943146077977190561
 300     9  17.241.401.61681.340801.2787601.3173389601.4562284561.1461503031127477825099979369543473122548042956801
 301     5  3.43^2.2932031007403.250496677636134194455624482113419891241717626649461375803326671768162580233
 302     4  5.4373689270176379261201.130530323901899210670077.2854495385411919762116496381035264358442074113
 303     5  3^2.112102729.845100400152152934331135470251.19112684214957755703306290219340140859813072336321619
 304     7  65537.7798338113.179781388993.84885296460737.643966863870017.27362254540091201.237157827243967596481
 305     6  3.11.331841.768614336404564651.31347559232075126851.247054336699552168887961800292921715571154497761
 306    17  5.13.37.109.137.409.613.953.3061.13669.26317.2582029.4260133.318194713.1326700741.12458723489217613.2384951\
            97879143209
 307     5  3.1249678499.4315199443523.210708825063558235331.76490150923395684178472404003401860286655314439889
 308     7  17.353.13553.15790321.2931542417.74153335873.1867935023317328048519811865525337712653538206737478396129
 309    11  3^2.619.2473.15451.89620507.415141630193.2400744384937.98277023988499.68545852036177507.8142767081771726171
 310    13  5^2.41.5581.8681.37201.49477.87421.384773.52597081.8973817381.24865899693834809641.578058287456927580106285\
            81
 311     3  3.64067.21705660634091537009057064062426347801694097690583490415257025927428956675122988820368249
 312     7  97.257.673.4993.94849.78919881726271091143763623681.13306320418205909319940605309019024034703545187073
 313     2  3.5562466239377370006237035693149875298444543026970449921737087520370363869220418099018130434731
 314     5  5.2790467761.5941035366826969.2203942033439148343973.182687704666362864775461208552445184771578920961
 315    17  3^3.11.19.43.211.281.331.5419.86171.664441.1564921.1765891.18837001.77158673929.112477025996765054814471379\
            91664348691
 316     4  17.504337.994769.15652605325219818652993083172107461429783643502979960839389487552451781198261880337
 317     4  3.326330579.491981122308467411.554346309198841189738200247725749800421156685578702545439230498849139
 318     9  5.13.10177.207973.15358129.586477649.1801439824104653.30007459254393181618012897.79718620048671033032934625\
            93
 319     8  3.59.683.3033169.121333341977.169523514238420211.25925516494438382632167017.5461859373498087771053790065009
 320     7  274177.286721.446960641.96645260801.67280421310721.3442404051886487041.2715862005931406599419575483412481
 321     8  3^2.643.154723.20636399209.480625710015394052365153.5718761969788697451457489.84115747449047881488635567801
 322    15  5.29.113.277.1013.1657.1933.3221.30269.169373.298817.209160253.115927640417.179351574736387915177.270370281\
            18448801270021
 323     7  3.43691.174763.17795830908608814443.3211586054639813621611.6319957642033539607139.2065255878519475622261353
 324    13  17.241.433.1297.3889.38737.30433969.33975937.1164777409.3718266498433.134921168163073.138991501037953.11740\
            29487714513
 325    13  3.11.131.251.2731.3251.4051.409891.5840251.7623851.7812610577851.9860942209386451.1245660907214169781926561\
            543788801
 326     7  5.653.9781.7807049.4826612561.9716134201585679932947173.11692013098647223345629483497433542615764159168513
 327     7  3^2.666427.104124649.6927735019.2077756847362348863128179.30414028470765822165976581508161866432602988327347
 328     5  257.12239719573537.18093927039368350337.25394524415842506913.378321539354637595471013489406983903120592833
 329     7  3.43.283.659.165768537521.762394321774681.359687424377961714750891763743933975334959200103759485840227631801
 330    18  5^2.13.41.61.397.661.1321.2113.3301.8581.312709.4327489.391249826881.415878438361.3630105520141.12127627350\
            301.13379250952981
 331     6  3.5297.2983001129.7520796641.8530674250842274717434530683.1438390199144030563364806863704510189429516419097
 332     4  17.11953.14767689550320172808742174828062347720350769.2915547797343721112173446482628529057775979692132113
 333    13  3^3.19.1777.3331.17539.304363.25781083.9853387597819.107775231312019.31031320083857011.12705931446465052330\
            13326197403
 334     5  5.75005713.27395325377910797.18208260781190156536114609.187072209578355573530071639244871112681892570202113
 335     6  3.11.93131.7327657.6713103182899.462968972850605487726216422914611666280373111850525667327093865346827818121
 336     9  193.449.2689.65537.22253377.47886721.183076097.358429848460993.13108430448511942550428449511988952999601918\
            1850241
 337     5  3.21569.5333388961.964094242760707.841462035388400254709200130801140475354660321983340709246797058685767257
 338    10  5.53.157.677.1613.180201997.1259036730797.615946323850313.408946876729703992293841657.215656329382891550920\
            192462661
 339     9  3^2.227.48817.156619.28448881.636190001.491003369344660409.806767008285880208406610406331741063631088159047\
            3931569
 340    10  17^2.1361.61681.354689.12717361.1392971637361.2879347902817.8088220746627020943841.630894905395143528221826\
            310327361
 341     7  3.683.647219.1434929.715827883.37368615235403.8800133823432670069531598645548227258635578231014418804700381\
            8403
 342    16  5.13.37.109.229.457.25309.131101.160969.525313.4598533.5675149.39291697.275415303169.99463730244517.4143560\
            6371227835355919073
 343     6  3.43.2513690593.4363953127297.2883580030222424891.439111585949501945221029706704718079667486165417704873755\
            8611
 344     3  257.4129.33770734168253651800370989375796994825389296318018601048482005531172856260013942500368975908606689
 345    11  3^2.11.139.331.691.2796203.1884103651.168749965921.345767385170491.7407834313249998911026540925061804532326\
            3715522281571
 346     5  5.13625405957.7152893721041.1673815085186574700322174232069942181681.17573966531050575296887774035031322753\
            4889
 347     2  3.95562442332919646317117537304253622533190207882011713489066201641121786503686867002917439712921903606443
 348     8  17.241.59393.82129.10389476529713761.59372021171164475019217.565288195624678452623377.822801951671441198323\
            90568177
 349     3  3.131282633.29116552631274434088206484190259536471420468199175046554426190291634929809394321639760969666999\
            87
 350    14  5^3.29.41.101.113.701.8101.268501.7416361.47392381.2430065924693517198550322751963101.103821379344784194090\
            8293355871461401
 351    11  3^4.19.2731.87211.22366891.5302306226370307681801.4247713303224552237738169.2484112542905158506253896175126\
            9988364169
 352     6  641.1409.1258753.6700417.441995541378330835457.272476600464959543415724134374176772915689120642291857021113\
            9111809
 353     3  3.3803909572078746837295094051706948091.1607818533384485707707842837146335251451162017762519557029955613946\
            641
 354    15  5.13.709.1181.3541.12037.31153.157649.174877.5397793.5521693.94789873.104399276341.20847858316750657.299524\
            0087117909078735942093
 355     6  3.11.56409643.13952598148481.15524635883992211.182013944029916253984850599290949064721089587458906809918552\
            581277361
 356     2  17.86343477307861515731230904293725626006458917239276465834826873953390037688037075127341874940616496434997\
            61
 357    12  3^2.43.307.2857.5419.6529.43691.428401.823679683.143162553165560959297.110752312216185925137457604662074343\
            63249588723425331
 358     6  5.31815461.1301260549.416115013830990336221.11575709336636595278866333.588850381287433028279084110474400181\
            861465037
 359     5  3.3536450843.1110671633637523.194193974563158088483.5131663047139997512175607955365883672489250435277820427\
            75106649
 360    10  97.257.577.673.8369281.394783681.4278255361.46908728641.487824887233.75001689028377705570473822724747448536\
            6338380663681
 361     4  3.174763.6874301617534827509350575768454356245025403.130325411646110869726875933582158586089700841594672008\
            3246259
 362     7  5.9413.28739737348957.178925762979037.3830538323149121.95016376135553173181.1066464541591577895336853393776\
            79881781493
 363    10  3^2.67.683.2179.20857.117371.19488182484739.11054184582797800455736061107.396992666458527319082713961772989\
            28124355765422009
 364     6  17.858001.15790321.308761441.593914915675537.88969972427095486838263404334155574024974198424757851044517845\
            1442481793
 365     7  3.11.1753.581874971.1795918038741070627.498386055746534779273231850742131.249442522257473321433927839695094\
            6967011483971
 366    12  5.13.733.1709.3456749.5080081.368140581013.667055378149.4209508589941.12836737570021.19125556519918081.4141\
            94958733796530899181
 367     7  3.2203.19819.146264881313513.20837062885084633147.460233616861852066165180033789571.16361985971696072450883\
            31633873083979
 368     4  65537.76392570609857.1335570346574631363954390476479681.899153739379227778776145057955765742805618741308025\
            66460033
 369    13  3^3.19.83.739.18451.165313.174907.8831418697.26309368807003.13194317913029593.23365041083799063007245010292\
            408927930007906086731
 370    13  5^2.41.149.593.29246281.184481113.231769777.567471221.1392776941.4964166554103541.1258710725115650761.42998\
            81834172078350686174001
 371     8  3.43.107.28059810762433.18351945672220987.10471846336802440580575859.90338901802490793533882683.71530289557\
            4501987260955609
 372     9  17.241.1489.29761.290657.3770202641.22415398357688737.1141629180401976895873.188944042567010045199618019544\
            2651130966948029537
 373     4  3.60427.694579497316894264425661243659806371972188318857.15279675632529004346277977947875832870590594752132\
            7614399129
 374    13  5.137.397.953.2113.5237.26317.551353793.26509131221.1819762572673.35155077044989397.4029292065629191839853.
            135322045917118601273437
 375    12  3^2.11.251.331.2251.4051.229668251.1133836730401.5519485418336288303251.19963778429046466946251.35758633131\
            596900685051378954141001
 376     7  257.3308801.3853249.487073399939357470433.163875530636702837695009.2673989784183378728255297.22007933058914\
            5989807908723201
 377     6  3.59.2731.3033169.13454377.15604620003748987137563684369946433749429548952479111489128424163566077973414124\
            705335003435083
 378    15  5.13.29.37.109.113.757.1429.14449.246241.279073.40388473189.118750098349.456376431053626339473533320957.304\
            832756195865229284807891468769
 379     4  3.15012732261073.728040923721821697586308784409.37551870149160225933510841998425767070380445542467219009673\
            638189257459
 380     7  17.1217.61681.148961.24517014940753.3435950210316335724157758000789490561.153787279330237476887106331233239\
            525756635010497681
 381     6  3^2.3049.38257184231365987.56713727820156410577229101238628035243.82723179283707558079607521798312521771184\
            766697594996913
 382     7  5.3821.25212001.5972216269.89618875387061.1833085153842665442652283234165143433597.208442527153792520909384\
            85003447004944677
 383     4  3.1351710731785981752792617.5609122817914313723820539.86614055374304147785922588785111877386804525633977953\
            6563782349481
 384     4  59649589127497217.5704689200685129054721.349621839326921795694385454593.33119238048811415260045742849795340\
            8512758882817
 385    15  3.11^2.43.281.617.683.2971.78233.86171.48912491.219980531.35532364099.4362989211422861340320935785851.12761\
            30308645500829341614664372811
 386     8  5.773.3089.148997.14402030644704405877.635283689603233836449.378791300027089635677652285973.255647743603632\
            12740382247547878573
 387    10  3^3.19.1033.1591582393.2932031007403.15686603697451.109053678968940302364939183451.745115682942436288633065\
